node,x,y,width,height
l5_enterprise_anchor,22.236,24.428,0.01,0.01
l4_business_anchor,22.236,21.486,0.01,0.01
l35_idmz_anchor,22.236,18.544,0.01,0.01
l35_security_anchor,22.236,15.603,0.01,0.01
l3_operations_anchor,22.236,12.661,0.01,0.01
l2_anchor,22.236,9.7194,0.01,0.01
l1_anchor,22.236,6.7778,0.01,0.01
l0_field_anchor,22.236,3.8361,0.01,0.01
l_kavach,1.4167,0.89444,2.4,0.9
train_radio,4.8194,0.89444,2.4,0.9
driver_machine_interface,8.3611,0.89444,2.6806,0.9
brake_interface_unit,11.903,0.89444,2.4,0.9
speed_sensor,15.306,0.89444,2.4,0.9
onboard_rfid_reader,18.708,0.89444,2.4,0.9
ext_kms_server,24.444,12.661,2.4,0.9
ent_email_server,24.444,21.486,2.4,0.9
ent_erp_server,27.847,21.486,2.4,0.9
ent_eam_server,31.556,21.486,3.0139,0.9
idmz_firewall,24.444,15.603,2.4,0.9
idmz_vpn_gateway,27.847,15.603,2.4,0.9
idmz_jump_host,31.25,15.603,2.4,0.9
idmz_data_diode,34.653,15.603,2.4,0.9
sec_siem,27.847,12.661,2.4,0.9
sec_soc_server,31.25,12.661,2.4,0.9
sec_ids_sensor,34.653,12.661,2.4,0.9
sec_ips_sensor,38.056,12.661,2.4,0.9
sec_vuln_scanner,41.458,12.661,2.4,0.9
ops_tms,24.653,9.7194,2.8264,0.9
ops_nms,28.583,9.7194,3.0243,0.9
ops_workstation,32.333,9.7194,2.4826,0.9
maint_workstation,35.861,9.7194,2.5764,0.9
eng_workstation,39.444,9.7194,2.5868,0.9
telecom_mpls_router,24.444,6.7778,2.4,0.9
telecom_gateway,27.847,6.7778,2.4,0.9
s_kavach,31.25,6.7778,2.4,0.9
electronic_interlocking,34.653,6.7778,2.4,0.9
radio_base_station,24.667,3.8361,2.8472,0.9
radio_gateway,28.292,3.8361,2.4,0.9
axle_counter_evaluator,31.75,3.8361,2.5035,0.9
object_controller,35.208,3.8361,2.4,0.9
point_machine_controller,22.236,0.89444,2.6597,0.9
signal_controller,25.764,0.89444,2.4,0.9
track_circuit,29.167,0.89444,2.4,0.9
axle_counter_head,32.569,0.89444,2.4,0.9
trackside_rfid_tag,35.972,0.89444,2.4,0.9
